Title,Content,Mental Condition
is every day just going to keep getting worse?,"This is just the latest in the if it weren't for bad luck I wouldn't have any luck at all. So last Friday Dr said that hubby's wrist won't be healed until end April.  He's hoping. That mean 16wks without work/income etc.  Then on Monday I ended up having a fight with daughter as she only calls me when she wants money. I said it would be nice if she could call/text or something just to say hi how are you occasionally. But well.........she wrote me a long letter that will hurt me.........so she isn't sending it until things calm down a littel. Then on Tuesday went to buy a carton of cigarettes and found out the government made the kind I smoke illegal.  Well I can just hear everyone say now you have a good excuse to quit.  Well guess what I have lost my income my job my way of life and in essence my husband been home for a month and have seen my granddaughter once....so pretty much my smoking is all that is keeping me going between  the insanity of WCB, the horribleness of the insurance companies that want the 2019 filed taxes before they pay us what we are supposed to be entitled too.........you can't even file your taxes til the end of Feb! I was so proud of myself in order to save money I had cut myself down to 8 cigarettes a day - sometimes 6 if I stayed real busy. 
Any way........it nearly pushed me over the edge. Since when I smoke short cigarettes I get headaches and dizziness and nausea and I feel really out of it. I don't have any desire to quit.  NONE. Then on Monday and Tues I was trying to get the T4's done and the acounting up to date...but between having to be cheif cook and bottle washer and having pretty much no help and having to help my mom with her resume and give my kid money for her rent and listen to my mom say over and over I don't want a job - you don't have an idea how hard it is for me not to work. You are not being nice enough to me. And trying to give hubby breakfast lunch and dinner and vitamins and water and me trying not to break down and give up.  
Then on Wed hubby woke up with a horrible rash, increibly. He thought it might be shingles..Dr said no its an allergic reaction to anti imflamatories maybe. So now he isn't taking anything....not anything that is good for him in case it was the vitamins or something that made him ill. ANd we went and spent $50 on bottled water in case its from the water here. It was just one more thing and all I want to do is sit and cry and cry and cry or I feel like breaking something.
I was trying to be ok. I was trying to concentrate on what I could control and what I could accomplish but really when every single day there is some kind of crisis. When I am ""alone"" every single day no one to talk to who cares. No one to vent too in real life I mean. But everyone wants something from me. If I don't do it in a perfectly gently voice, and I don't smile at them, or I don't act the way they want me too........well  I am just a horrible evil thing. How dare I even exsist. 
My going outside once an hr to sit in peace and quiet with no one to nag me belittle me annoy me is my only outlet.  I feel like everything that I love and care about everything that makes me happy is just being taken away one after another daily and I need it too stop. Or I am afraid I am going to stop exsisting. ",depression
New,I feel like I've been triggered recently and was just looking for an online support group. The last time I was on one was probably 15 years ago and it was so helpful in getting me through my day. The online world has changed so much since.,depression
I need a friend,"The past two days have been terrible. I’m in a really dark place and I can’t get out. Usually it’ll fade out, but not this time. I feel so worthless and sad . I had my daughter about 3 months ago and I think it may have something to do with ppd. It sucks bc in real life I automatically can seem to appear to be functioning normally , but inside I’m dying. I need a friend , I feel like I have no one to talk to ",depression
Need to talk,Really struggling right now. Cant seem to keep up with the day to day activities without breaking down. Feeling helpless and alone.,depression
What do you do?,What do you do to feel more positive? I just have no positivity in me at all. I can’t break out of it. I am hoping a medication change will help with it but am scared that it won’t. I don’t know what will I’ll be left to do then.,depression
Enough,"Not sure if I'm posting this right? But here goes. My employer is "" pushing"" me out told me they didn't need me Tuesday February 4 then called this morning February 5 and told not to come in. Adding I have one small task for tomorrow if I even want that. Well I'm going in tomorrow so? But I know I need to find a job. I just recently moved out if a shelter November 2019. I'm scared of being homeless again",depression
Shit on a work,I was passed over for a second time after interviewing for the past two weeks for another position in the company I work for. All I can say is fuck them! I've worked my ass off for the last few years as a top performer at this company and this is how appreciated I am for it. I'm in a pretty bad place right now. I'm sick of everything. ,depression
Friendless?,"My therapist was my only friend. Though she said she could not be my friend, she was. Some of you know my story and that she has gone missing. I am grieving. Without her I realize I have no friends. I'm not an unfriendly person. Nor do I walk around with a grumpy demeanor. I have close acquaintances at church, but no friends. My sister who was my best friend died 4 years ago. My other sister and I are not very close, but we try. My children live far away. We are cordial to one another. A lot of painful experiences we went through due to my mental illness which have put emotional and mental distances between us. My relationship with the Lord is very close, but I have no human I can call my own. The thing is my normal is therapy, hospitals and church. I do not know how to have a normal conversation other than my experiences with my mental illness and my God. I'm afraid to try new things because of this. Therefor, I live a very lonely life. Can anyone relate? Any solutions?",depression
hard time just gping,"every morning it is an internal battle. I would rather stay home in bed, by myself than go to work. I have a great job, work with great people, but find it hard to get there. I know I am self-savotaging. I have lost jobs because of calling in sick and don't want this to happen again. Why am I dragging my feet? Why can't I find the enthusiasim to join the world?",depression
Pet Peeves?,What pet peeves do you have? How do you deal with people acting out your pet peeves?,depression
what is this?,"This is the first time I've decided to explore my sexuality. I am a female who is now starting something very serious and monogomous with another girl. I've always liked girls but I've been closeted for a long time. I've one been with guys. I don't know if my family and friends will support my sexuality and my choice to be with a girl. Mentally I can't handle not being supported, I never have had support and this is why i've been very introverted. No one has supported me to do anything. I lack confidence in this regard. I like her so much but what if my family doesn't like me being gay?",depression
"Help, suggestions, advice xx",I'm reaching out to see if any of you lovely people have any suggestions or advice on strategies that have helped you cope or get through really bad times of depression where you feel you just can't cope anymore and your scared of what you may do ,depression
Isolating,"Hey I mentioned before that my dad died.
 I thought it was supposed to get easier with time. Not worse. 
I have been to both stabilization ( place to go if feeling unsafe ) and foothills ( psych hospital)neither place helped me. But they don't know that. Because I know how to act in order to leave.  
I have not been doing things that I know I enjoy. I have been isolating myself.  
I force myself to go out of the apartment. But every time I go out I want to run back. 
My brain ",depression
Tired feeling lonely,I am married to an alcoholic. The last few years have really been tough. I am so tired of the rollercoaster ride of emotions! I am tired of feeling lonely. ,depression
Not ok,"Grief, it's a 5 letter word, I feel like the pain that I am feeling in my heart right now should be more than 5 letters. 

Its 830 in the morning and I have not been to sleep yet. I was okay until 5 minutes ago, then watching Homicide hunter on the tv made me think of you and how much you loved watching ID channel. 

Now I am not okay. My hands are shaking, the tears are rolling down my face. I miss you so much it hurts my soul. I was lucky, I got to know you, got to love you, was helped raised by you. I had you in my life for 28 years, you taught me so much. You made me strong and let me know that you were always there for me, told me that I could call you no matter what and tell you anything and you would still love me and be there for me and help me get through anything. I was the lucky one. I was nans girl. I miss you. I'm thinking of you and because I am thinking of you I am also thinking of Pa. 

Pa was the first man I fell in love with, the first man I felt loved by. I was his road dawg, he loved me for me, he got me my first tattoo, and helped teach me how to drive. He took me on dates and he made time for me. He taught me how to drink & make a killer homemade pizza. He never made me feel unloved, or made me feel like he was disappointed in me. 

They were my rock. They loved me and I loved them so much. I hate that my children will never feel their love or get to know what amazing people they were, they will just know them through me, through my memories and that isnt enough but it has to be. 

The tears have slowed down, my hands have stopped shaking but my heart is still hurting. I need to get some sleep. 

I miss you nan & pa. ",depression
Learning who you are and losing who you are,"I have been struggling with pin pointing myself.  I am very analytical and desire a reason, a fact, or status of everything around me.  To my wife's disappointment, I am very non-emotional.  Well that isnt true just not vocal and light on love (as it is explained to me to be). I guess that is an issue for another day.  I am a hetero-flexible crossdresser.  Which my wife is aware and not negative toward but not excepting ether.  That side of me started early in life but always remains in the minority. However there are moments when life's stresses become too great and I turn toward a more ""gay"" focused (based on anatomy not mental stat at time) trans approach.  I dont feel the same. I feel liberated. I feel in control.  But they are still my eye that I am looking through. Both as a man and as a trans woman. In moments of quiet if is disorienting. That part of me that helps me feel centered makes everything fall apart.",depression
I feel so alone,"A year ago my therapist closed her practice, but we continued our sessions with skype sessions up until this past October. She moved and told me she would get back with me when things settled down. She notified me in December and told me she would get with me in January. The month is almost over and I have not heard from her. It would not be so bad, but I found out this month that my psychiatrist is closing her practice in March. I worked with these 2 women for 11 years! Now I feel abandoned. I am so frustrated. I'm looking for a new therapist and psychiatrist, but my heart is broken. I really loved these two women!",depression
"Alone, as usual","I go to college and I have like one friend, my roommate. I hate being here. I've been here 3 years and everyine back home has already forgotten about me. I have no one to hangout with when I visit home and I end up lonely and depressed. At school my only friend if busy living her life and doing stuff but all i have is her. I'm alone here too. College was supposed to be my fresh start to reinvent me and become a likeable person who has friends and no past reputation but I can't fight who I am. I'm not enough for people.",depression
Spravato,Was wondering if anyone has found relief from depression using the Spravato eskeyamine nasal spray and if they’ve had any side effects. ,depression
Death Be Not Proud,"TW: Suicide and Suicidal Ideation
""Death be not proud, though some have called theeMighty and dreadfull, for, thou art not so""
The first two lines of this poem resonate with me today. Death has become a part of my life. I just moved to a new city, and am in the process of finding a new care team (Therapist, doctor, psychiatrist). My biggest health problem right now is about every 6 months I try to kill myself or seriously self harm. The line between those two are blurred. I am stable right now, if a little weighed down by my emotions, but with all these new health interviews I'm repeatedly rehearsing and reciting my history of dances with death. I just finished graduate school, where I was hospitalized every semester for 5 semesters. At the time I was doing what had to be done to get through grad school, finish and get out. I guess I'm proud that I stuck with it and it didn't kill me, but It left me with a mental health track sheet that I'm not proud of. 5-6 times in 3 years, the last and most serious one was only 2 months ago. 
It's not even worth pretending that the whispers of death don't sit on my shoulder every day like an annoying neighbor who invited himself in. I live with death. It feels very lonely. I don't know anyone else who simply has to put up with it every day. If I tell anyone about it they either dismiss it or they jump to serious concern and protective measures. It's always good to be safe, but I don't know who to talk to about this. Not my friends and family, it will only upset them or hurt me further.  Death is rotten company, but for now, he has no power over me.",depression
Can’t break through,"Just can’t break through this depression. Have tried doing activities I used to enjoy and new ones, but they have no meaning to me now. Nothing seems worthwhile. I’m just going through the paces.",depression
I don't know what should I do,"I never talked this with anyone before I always trying to Pretending to be OK but I'm not since long time. I have been porn addiction for about a year and half now and I moved from country to other one and I feel by time I'm getting more lonely and more isolation I wasn't like that I feel tired from inside I don't have the courage to talk about that in the normal life I feel lonely and I feel losing everything, I don't like to talk with doctors I don't feel comfortable with that solution, I don't have passion about anything, I don't want to do anything in life, the only thing makes me feel good is just to sleep and even that since long time I haven't been able to have a deep sleep, I don't know really what should I do, I have mix feelings inside me I'm so so so so tired. What should I do? ",depression
In negative loop,Just can’t get out of this negative loop I’m in. I’m trying to push and do positive things but nothing is enjoyable. It’s hard getting through the day. ,depression
In a Depression Pickle,"I have had quite a rough patch. Last year I attempted to break things off with my wife. She was verbally and emotionally abusive to me. After a long talk we said we would try it again. She agreed to couples therapy at first, and it was great for me. But she did not are for it. She didnt want to get to her deep down secrets, only wanted to work on me. We eventually stopped going. I have fallen for the same thing. 1 year later we are in the same place. I have become isolated. Someone stole my identity, my personal photo business has all but fizzled out. I am now in debt a butt load.
Her daughter has recently quit basektball before the last game. Now they have all but ended their relationship over it. 
She is in a really bad place, and I dont know how to have her get help when she wont accept it.
I have the resolve to end it, but I want to make sure she is taken care of.",depression
"Oh, the dysphoria!","My doctor and I recently determined that I likely suffer from Pre Menstrual Dysphoric Disorder, so my normal anxiety and depression is intensely exacberated once a month. I don't see a support group here for PMDD, so I am just going to vent here to you Depression people. Here goes. 
Baseline, I feel that I deal with normal anxiety and depression like every other person and maintain an irritable, cranky disposition, which for the most part is eased by 10 mg lexapro and .5 mg lorezepem for tougher situations.Here's what the dysphoric phase looks like for me:
I have a bad cold and I am at my boyfriend's house and he is taking care of me. ""Hey babe, do you need anything?""
""No thank you baby."" 
""Do you want some water?""
BAM. There it is. Irritation, agitation strikes me in my gut, shoots through my body, zings up the back of my neck, I can almost feel my eyes turn dark. ENOUGH WITH THE QUESTIONS. I SAID NO I DON'T NEED ANYTHING. DOESN'T WATER FALL UNDER THE CATEGORY OF ANYTHING?! !@#$ No, I didn't say that out loud. I took a deep breath and pleaded with myself to please not be a dick to your loving, doting, caring boyfriend who is trying to take care of you. ""No thank you."" 
He keeps going though. Because he is a sweetheart. Because he wants to make sure I am sure that I don't need anything. Maybe because he thinks I don't want to put him out, so I just say that I don't need anything, but surely I need something. THIS IS ENDEARING PEOPLE. Annoying, and maybe a little irritating even to the people who are not baseline irritable, BUT ENDEARING. Even on my good days, and he does crap like this, I get annoyed, but I feel the love and I feel the endearment towards him deep down under all my agitation. Sometimes, I can pull back that layer of agitation, I feel my soul soften, and I cock my head to the side and look into his eyes and smile gently and say, ""you are so sweet. Now please shut up.""  
""How about a blanket?"" Now I am even more angry because you know why? I REALIZE I WANT A BLANKET. I take another deep breath and try to say ""yes, please"" sweetly and gratefully. It didn't work. I sounded like an asshole. (Actually I think what I said was ""JESUS yes just gimme the blanket goddamnit). 
Now he's annoyed with me. And he should be. 
Now comes the worst part of the dysphoria. The crying. I sit there, under my blanket, he's not talking to me anymore. Who can blame him. So now I'm alone wtih my thoughts: What the F is my problem. I am such an A-hole. I've made him feel bad. I've made him feel like he can do nothing right. I've made him feel inadequate. I don't deserve him. I don't deserve happiness. I am pathetic. I am awful. I am selfish, I am childish, I am imature. Who could love me. Why does he love me. 
I don't feel worthy to be even sitting next to him. I don't deserve the comfort of the blanket. I get up and go to the bathroom and sit on the cold floor and sob and sob and sob and tell myself the same negative things over and over and over again. I even chide myself over the drama of sitting on a cold bathroom floor alone. (Like what is that about? Cry in bed for the love! I think when there is so much emotional pain and you don't know what to do with it, it hurts even more to be physically comfortable. So I feel like i have to make myself physically uncomfortable on a cold, hard bathroom floor. So. Dramatic.) 
I want him to follow me to the bathroom, sit on the floor with me, put his arms around me, rock me back and forth, kiss my forehead, and just say, ""it's okay, i love you, it's okay, this will be over soon."" I also DON'T want him to do that. I don't want him to see me, indulging in my pathetic dramatic ritual, reverting to this odd, child-like behavior, seeking attention but then not accepting it. 
Eventually, I'll stop crying and go to sleep. But the next day my eyes are nearly swollen shut. They hurt. My soul hurts. I'm embarrased. I can't look him in the eye.  I will weep off and on all day - everytime I feel the pain in my eyes, or everytime I look in the mirror and see how puffy they are, or every time I try to think about taking a deep breath and pulling myself together and try to bounce back, I recoil even further and will start sobbing hysterically. 
And this will go on until my period starts. I swear, you've never seen a woman so happy to start bleeding! 
My doctor started me on Yaz (birth control) to help with the PMDD. This is my second month on it. I seem to remember the first month going really well - I didn't have any severe dysphoric episodes. This month was different, and almost worse. I suppose I should give it another month. 

Thanks for reading. 



",depression
Dating sucks,"So me and this guy have been together about 5 months and everything has been going good. We've had one ""fight"" but other than that we get along great, he says he loves me and we have a blast when we are together. We were messaging tonight and I was getting tired so I said ""cant wait to see you tomorrow I love you night"" and he said it back. Then 2 hours later, whilevim asleep i get a message saying he wants to break up and we dont have things in common and all this and that. He changed his facebook to single. So I go to his house and wake him up. I know that seems crazy but I was so distraught and confused. After a lil bit of yelling and a few ""get out of my house"" we calmed down and started to talk and He said it just seems like all we ever do is watch what show I want or listen to what music I want, and we dont have the same likes anymore. I told him I could give 2 shits what we watch and we could watch porn for all I care and that he just has to talk to me about these kinds of things. He kept apologizing and I asked him is there any part of me that wants to work this out and he said yes and grabs my face and kisses me. We embrace in a hug and he says he was sorry over and over and that this is his first relationship in a long time and he didnt know how to handle it and he said I said I love you when you went to bed cuz I meant it. I asked him numerous times if we were ok and he kept saying yes. His dog started to act up so I left and he said he would see me later. I got home and obviously threw up from all the anxiety. I'm still worked up and numerous thoughts are going through my head like ""am I going to get another text while I'm at work"" ""does he really love me"" I just am so confused, I mean I left his house and he said all those things and I feel like he meant it, my depression is just trying to tell me something different.  Or is it? I dont know, I need some help.",depression
Very depressed and lonely,"I am very depressed and lonely and I feel like I have nowhere to turn. I was married for 25 years, the last ten of which I was separated from my husband and had my own apartment. Two years ago my husband died, I lost my apartment and went on Social Security Disability, and lost all my possessions and my car. Now I'm stuck in a personal care home with 17 other people, none of whom I feel close to and rarely talk to. This isn't my hometown--it seems like most of them are locals. I have no family or friends. I would love a therapy group but there are none. I have a caseworker who is no help at all. I requested another caseworker and was told that wasn't possible. I have a therapist who can't seem to schedule me for appointments very often. Mostly I read books to pass the time. I long for some face to face conversation with people and to be able to talk about my depression and anxiety with people who understand. I make too much money on SSD to qualify for peer support. I miss my hometown which is 200 miles away.  I haven't been out of this house in almost a year. It seems like there are no options for me at this point. I miss having control over my life and having support group meetings to go to. Transportation is a problem--I have none. I have yet to find a church where I feel like I fit in. I need some kind of group but it seems like there are none where I live. I feel like I have no life, I just exist in a state of emptiness. In the past year I had all my upper teeth extracted and can't even eat normal food. I have to have another oral surgery procedure in January before I can get a denture, and that's if I can afford one. I pay $1000 a month to live where I am and it's not worth it. I just feel hopeless in my current circumstances and I can't see a way for things to get any better. If I just had one person to be an ally, that would help, but I don't. I hope this group can somehow give me some direction.
",depression
"One Step Forward, 10 Steps Back","I really am struggling to understand why it's so difficult.
I have a good few days - seem to be making progress in myself and keeping my emotions under control. 
The smallest thing happens...
CRASH!!!!!!!!!!!!!!!!!!!!!!!!!!!!
The whole world seems to collapse around me and I'm back to where I was before. If not worse...
I'm currently trying to listen to uplifting music and finding it difficult to concentrate on anything. Even typing this post has taken nearly three hours as I keep feeling like 'what's the point?'
Does anyone else feel this way and, if so, do you have any tips on how to keep motivated rather than spiralling back down to where you were before?
Michael",depression
Life after divorce,Hi everyone I have been divorced for about a year now I was married for 10 years still struggling with just letting things go it was all I knew for so long and I try to get by with the denial and dating but honestly I'm still not okay and I don't know if I ever will be okay I really feel like I lost a piece of me not necessarily from losing her but my family being split up we do have two kids I haven't been the same since the split and have been suffering from depression and loneliness even when people are around me I don't know what to do anymore it's kind of like I just feel like I'm existing instead of living now.,depression
WOnder,"I often ask myself what is wrong with me. Is there something wrong with me? What is wrong with the women on the outside? What is wrong with the women on the inside? And in any given situation I would turn to a loved one and ask because I wanted reassurance. And now I dont know who I can turn to and turst to ask the question I so desperately seek the answer to. I know of course writing to you guys and asking you all that same question will not validate what I seek but maybe in asking I can get people who understand and know how I feel when asking these question. And its not just in the outside world, and by that I mean friends work school, but its also within my own home to where I don't feel safe and it leads me to having thoughts. Thoughts that i'd like not to have. But I just dont get it what is it about me. Is it because of my apperance the color of my skin or my body type? Is it my hair? Is it the way that I speak? Or maybe it is the way that I walk? I just want it all to stop. Time. Space. Life. But that wouldn't solve my problems or the way that I feel... Id just like to know what it is. What is it? why is it? Darkness all around me. Consuming my soul and tranforming my face into a person I don't even recongize. I cry out and plea for saving but silence is all I hear. Nothing but silence. And I sink deeper and deeper and continuing to let the darkness consume until there is nothing left. Sitting remains a body that was once light and now dark and empty. Soulessly dirfting. All I want is to breath lightly walking across the smooth sand beneath me with no worry, no question as to why or what is wrong with the person I am. To be accepted rather than rejected and discriminated against because of color of my skin, the langauge that I speak, the personality that have, the way that I walk or the gender that posses. Accept me the way that god  sees me as. ",depression
Rejection and Acception,"I can speak for all but I know for me that when I am attempting to express how I feel to people that most of the time I feel rejected because I can tell that they aren't listening. And that has been something that has gone on majority of my life. I was the black sheep and unwelcomed and not wanted. For a long time that hurt, it hurt not just to hear it, that my feelings werent cared about, but also by the way people would look or the body posture that they would give of that they dont give a rats ass. I often wonder why it is I get rejected and honestly I dont have all the answers but one thing that i am sure of is that i dont need no ones opinion",depression
Thoughts?,"I’m not okay. I’m tired. I’m tired of myself. I’m tired of the things my mind says to me all the time. I’m tired of my mind telling me I’m ugly so I should keep my head down. Im tired of telling my family and friends I don’t want to take pictures because I look disgusting. I’m tired of looking in the mirror and seeing all the wrong things. I’m tired of my mind telling me to shut up. Im tired of my mind telling me the world and people are better off without me. I’m tired of my mind beating me up 24/7. I feel like I’m on the brink of tears all the time. I feel defeated everyday. It’s never ending and if this is how my life is going to be, I don’t want it.",depression
I want to give up,"I am not even sure why I am posting. Its been 2 wks now and I have been trying to keep my head above water.  I didn't want to fall into a stupid depression or allow my negativity to take over. I made a to do list, I thought of how I could control me if not what is going on around me. I tried to focus and not get panicked.  I used all the stupid skills I am supposed to use when things fall apart around me.
But each day it just gets worse. Oh it is just little things granted........stupid doctor's, -40* weather, frozen up truck, broken toe (yeah that's what happens when you drop a frozen ham on it. Overtired, worn out, sick  of fighting, referral appts not booked, snow.........like I said small things. But small things yeah well after a huge crisis.................well that is what wear's you down. 
Guess I should start at the beginning...on the 7th hubby fell off the trailer and broke his wrist. I would say thank god it happened at work and he can claim WCB, but thanks to a Dr marking the wrong boxes on the form its going to be a fight....Not to mention the fact that for the first time in over a decade, we were actually making good money, there was actually savings in the bank. I was actually feeling hopefull and making plans for the future. 
So in the last 2 wks I have lost my job my income my security, in essence my husband.....it is a bad break and he is in  a lot of pain. So all I do is take care of him and try to deal with my mom and her depression, worried about daughter and granddaughter as daughter's husband got laid off the week before CHristmas -- I wasn't too worried he was sort of scheduled to go back 1st or 2nd wk in Jan, and we were ,making good money it wasn't like we couldn't have helped them. Of course trying to deal with all of this while trying to deal with my SAD is not helping either.
Yep the story of my life...............""cheer up it could be worse""  ""I cheered up it got so much worse!""So now I just want to end it.......so sick of trying so sick of trying. I can't keep my head above water. I just can't. It's too much all of it is too much. Oh and to put the cherry on top of it....3 days after hubby fell, I got a panicked message from my cousin saying that my brother was in the hospital and only had 3 days to live could I get a hold of his son (who he hasn't spoken too or cared about in years)
So then 3 days of family drama insued. I have to fight off my co dependant tendencise. It brough up a bunch of stuff on addicts and childhood and all the guilt and pain etc etc etc. 
There is only so much I can take........I don't want to take anymore. No more worry or fear or pain or loss or wondering or any of it. I want a normal decent life...........no BS.....I am sick of the rug being ripped out from under me. ",depression
I went from up to unfunctionally down.help pls,Maybe I should be posting in the bipolar group but it seems here is where all the help is. All I have to do is get in a conversation with someone that so much spills out that I'm left with humiliation & extreme social anxiety. I berate myself all day & overimagine the fallout. I don't know what's wrong with me. I'm just weird & when I have the opportunity to start over with a new environment I screw it up. My therapist whom I adored went on maternity leave & as soon as she was about to come back I lost her due to a health insurance change. There's so much I want to tell her & now I will never get the chance. I cannot find a new therapist & ive been too long without one. I don't particularly want to begin my story over again with someone new either. I went back to my husband after divorcing him bc he vowed to protect & help me & he's just not. I don't feel as tho I can face tomorrow. I can't believe the garbage that falls out of my mouth. I hate hate hate myself. I found something I loved to do & I cannot go back bc I'm now back to being a freak. I have no friends. I never will. ,depression
I dont want to kill myself but I don' want to live,"Hi,

There's nothing anyone can do but it's just nice to talk about it. I don't like to say I suffer from arthritis, depression, anxiety and fibro but I have it and I dont want it to win. I'm 27 and I feel like my life has been taken from me. I don't want to live in pain every day but I dont want to kill myself because besides being in pain 24/7 I have great family and love. I just dont want to livd like this. Medication at my age is just not an option for me. I want to have kids and not have my liver or kidneys fail because of the drugs. I also don't want to build a tolerance so when I'm 60 and can't get out of bed I can depend on drugs. I'm just tired of every part of my body giving up on me. I'm tired of not being able to enjoy things...... ",depression
depression...,"feeling quite sad at the moment and I have to admit I am struggling with depressing thoughts at the moment. I feel so helpless... while music kinda helps distract the noise inside. 

I had a bad nights sleep. Woke up with a horrible stomach ache, well I took some medicine and it helped a bit. Chronic pain sucks. 

Perhaps I am desperate for an escape from it all. ",depression
So depressed with my life and living it!!!,"At one time I was so happy and Over the hills in my marriage. Overtime I fell apart. Now I don't even know who I am. So for the last year my husband and I have have hit the lowest ever. I am an opiate addict, he's a speed addict. Any way so I recently found that he's been talking to some woman for over a year. Telling her he loved her, told her I left my kids with out fighting because I'm a drug addict or a whore. I can't even remember which one it was it was such a blur. Any way, I started using because I was so depressed he never wanted to touch me or spend any time with me. Over the year I literally asked me 300 times if he was talking to someone. He lied to my face then accuse me lying to him all the time. Even when I told the truth I was a liar. I got too the point where I didn't care anymore. I was just getting high to numb the pain of my life. So one night he's sleeping and I look at his phone to find he's been talking to some girl. The messages said from her I love you and he responded with I love you too baby. Mind you he was setting next to me when he sent this. So I find out he was playing this game and talking to her for a year. That he literally told her all these personal things about our life. Everything but me, he left me out. And made himself out to be this amazing person. Which is crazy, considering it's not true. Anyway not the point. So a few weeks ago my world comes crashing down, he beats me up when I find out. He's all strung out and beats the living shit out me. Because I was crying freaking out. So I leave the state get clean, and come back home. He's now doing really good. But I'm not okay. He doesn't consider that he's cheated at all. He doesn't think it was cheating. But he totally left me on this roller coaster alone. Now I'm not okay, even though he's acting like I'm his world and he's so sorry for what happens to us. I just can't get past it. I'm clinically depressed, my aniexty is so bad, I'm pretty sure I'm bipolar. One minute I'm fine the next I'm loosing it. I cry all day everyday, I feel like I lost everything like I adored this person who I thought felt the same. Maybe we're just both sick in the head idk. Anyway he's been really patient and kind. He has really made an effort to save us. Since I came back. And idk if I can be saved let alone save us. I thought about moving out having my own space would be best. But idk if I wanna do that. And FYI on this roller coaster my kids have been with family. Just so you don't think I'm allowing my  kids to endure this. I've never felt so lost in my life. I have considered things and thoughts I wish I didn't think about. I love him so much, I feel like I'm just plain crazy for having these feelings. I'm not the type of person that believes in divorce. I just don't, those vows I meant every word and I just personally think it's wrong. The easy way out, but idk if we're good for each other. Idk if I'll ever get past this, I have no idea what he said to this woman. According to him he told her he was married and trying to save his marriage. Idk. Idk if I believe him, I don't know if I ever will. Trust is not something that comes easy. The most insane part is we're so sexually in sink with each other it's unreal. Like we get into a fight and we make up with sex. Its not healthy. I pray everyday that things will get back to the point of trust and love again like it use too. I loved him. I really did and I still do. Just not the same as I use too. My depression is overwhelming and the thoughts inside my head are not good. Do you think it will get better? Or should I seek mental help?? I'm freakin loosing it. ",depression
Story about overcoming,"The star of Sunday's NFL championship game talked about how many teams rejected him and how he persisted, to set a championship record. “I actually still have the cut dates. And I look at that before every game. I look at the cut dates when I got cut. I’ve been on, like I said, seven different teams. The journey’s been crazy. Not even — not everybody can deal with that type of stress and pain and agony that I went through.” Signed by the Eagles in 2015 as an undrafted free agent from Purdue, he was cut and added to their practice squad. Then signed by the Dolphins in and cut. Then claimed by the Ravens and cut. Then claimed by the Browns to finish a whirlwind season. He was released the day after final cuts by the Browns the following year, and had stints with the Bears and Jets before landing on the 49ers practice squad.  was with the Browns. My wife, she’s from Cleveland. So, we thought that we had something in the bag, me making the roster. And then coming into training camp, preseason, had a little bit of an injury so I missed the last preseason game that year. And I thought I was on the roster. I made the roster, the 53-man roster. And then celebrated with my family. And then the next day I got cut.
",depression
Toothache advice plus an update,"I need some Home remedies for a severe toothache that's radiating to my jaw, neck, ears & head. I dont have any insurance.

Orajel & tylenol and ibuprofen not working. Whiskey isn't helping much, salt water isnt doing anything. I'm looking for any relief right now. I'd rather give birth than have a toothache.

I am using a heat pad on my mouth and it works  until it's no longer hot.

Good news though,  I had an interview at a new call center in my area and I got the job! I start feb 24th! I am excited to be working again, and even more excited that Iam going to be working with my best friend! 
 
I have a few more  weeks with my kids and husband then back to work for me! ",depression
Change,"It's the driving force behind our development... without it, life would shrivel and rot away inside and out. It's a vital part of life and death. And yet, it is so, so very hard for me to deal with. I just got a better-paying, closer job and I am having trouble adjusting. The training is very thorough and intense, and it needs to be. I totally get that. But I am still adjusting. And I'm still adjusting to Denver. I've started to wonder if I'll ever adjust, as it's really not my scene. Too overdeveloped, too yuppified, too overcrowded with hipsters and rich 420-ers. I've decided that within the next five years (certainly no later), I will find a new place to live. Maybe somewhere on the Western slope. I keep thinking back to a few years ago when I lived in Fort Collins-- everything seemed better than it is today, although ""seemed"" is definitely the operative word there, because things definitely weren't. I guess depression distorts hindsight. I just get very frustrated with myself-- why is it so hard for me to adjust to change??? Seriously, it's not normal. ",depression
Codependent depression,Is anyone familiar with being a codependent? Putting everyone else’s needs ahead of their own to the point of losing yourself. When those people move on you are left feeling empty and lost. How do you learn to fulfill your own needs? ,depression
